Is the customer a senior citizen?,Does the customer have a partner?,Are there dependants on the customer?,Does the customer has access to phone service?,Does the customer possesses MultipleLines?,What Internet Service does the customer use?,Has the customer access to online security?,Has the employee had access to Online Backup?,Has the customer been given device protection?,Does the customer has access to technical support?,Does the customer stream television programmes?,Does the customer stream movies?,What are the customers' terms of contract?,Has the employee subscribed to paperless billing?,What is the preffered payment method by the customer?,What is the monthly charges paid by the customer on average?,What is the total charges paid by the customer on average?,What is the tenure of the customer?,output,flag,username,timestamp
False,No,No,No,No,No Internet Service,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),47,55,0-6 months,C:\Users\WORLDAX COMPUTERS\Python Projects\GRADIO_PROJECT\Embedding-a-Machine-Learning-Model-into-GUI-with-Gradio\flagged\output\tmpvyk83p1u.json,,,2023-10-14 02:09:33.229081
False,No,No,No,No,No Internet Service,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),18.25,18.8,0-6 months,C:\Users\WORLDAX COMPUTERS\Python Projects\GRADIO_PROJECT\Embedding-a-Machine-Learning-Model-into-GUI-with-Gradio\flagged\output\tmp9p3bofd9.json,,,2023-10-14 23:21:04.858236
True,No,No,No,No,No Internet Service,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),18,18.8,25-36 months,C:\Users\WORLDAX COMPUTERS\Python Projects\GRADIO_PROJECT\Embedding-a-Machine-Learning-Model-into-GUI-with-Gradio\flagged\output\tmp7ooapyuf.json,,,2023-10-14 23:23:36.101088
,,,,,,,,,,,,,,,,,,C:\Users\WORLDAX COMPUTERS\Python Projects\GRADIO_PROJECT\Embedding-a-Machine-Learning-Model-into-GUI-with-Gradio\flagged\output\tmpnhxck10f.json,,,2023-10-14 23:34:00.965946
False,No,No,No,No,No Internet Service,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),18.25,18.8,0-6 months,C:\Users\WORLDAX COMPUTERS\Python Projects\GRADIO_PROJECT\Embedding-a-Machine-Learning-Model-into-GUI-with-Gradio\flagged\output\tmpgzt_gd_s.json,,,2023-10-15 00:14:31.692321
False,Yes,Yes,No,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),29,64,49-60 months,C:\Users\WORLDAX COMPUTERS\Python Projects\GRADIO_PROJECT\Embedding-a-Machine-Learning-Model-into-GUI-with-Gradio\flagged\output\tmpetfthb1w.json,,,2023-10-15 00:47:26.769352
False,Yes,Yes,No,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),29,64,49-60 months,C:\Users\WORLDAX COMPUTERS\Python Projects\GRADIO_PROJECT\Embedding-a-Machine-Learning-Model-into-GUI-with-Gradio\flagged\output\tmp505fi6y2.json,,,2023-10-15 00:47:33.078650
True,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,,Yes,,Yes,Two year,Yes,Bank transfer (automatic),37-48 months,46,30,C:\Users\WORLDAX COMPUTERS\Python Projects\GRADIO_PROJECT\Embedding-a-Machine-Learning-Model-into-GUI-with-Gradio\flagged\output\tmpzwi7tsdm.json,,,2023-10-15 05:09:15.680928
False,Yes,,Yes,,,,,,,,,,,,,15,15,C:\Users\WORLDAX COMPUTERS\Python Projects\GRADIO_PROJECT\flagged\output\tmpch9y7te9.json,,,2023-10-15 12:42:30.104358
False,No,No,No,No,No Internet Service,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0-6 months,20,150,Awaiting Submission...,Submit,,,2023-10-15 13:40:55.949385
,,,,,,,,,,,,,,,,15,15,C:\Users\WORLDAX COMPUTERS\Python Projects\GRADIO_PROJECT\flagged\output\tmptd1f2uxp.json,,,2023-10-15 14:37:43.595917
